15
15
ROW 1
6 "44 44 44 58 58 58 58 58 58 58 44 44 44 44 44 44 44 60 58 58 58 58 58 58 58 58 58 60 44 44 60 44 44 58 58 58 58 58 58 60 44 58 58 44 44 60 44 44 58 58 58 58 44 58 58 60 58 58 58 58 44 44 58 44 58 44 58 58 60 58 58 58 58 58 58 58 58 58 58 58 61 60 58 58 58 58 58 44 58 58 58 44 44 44 58 58 61 61 58 58 58 58 58 58 58 58 60 44 44 44 44 58 61 61 61 58 58 60 60 58 58 44 44 44 60 44 44 44 58 61 61 58 58 60 58 58 58 58 58 44 44 44 60 44 58 61 61 60 58 58 58 58 44 58 58 60 44 44 44 44 58 61 61 61 58 44 58 58 58 58 58 58 58 44 60 44 58 58 61 61 61 58 58 58 58 58 58 58 44 44 44 44 "
7 "44 44 44 44 44 44 44 22 22 22 22 22 22 22 22 22 44 44 44 44 44 44 44 22 22 22 22 22 22 22 22 22 44 44 58 44 44 44 44 22 22 22 22 22 22 22 22 22 44 58 58 58 44 44 44 22 22 22 22 22 22 22 22 22 58 58 58 58 58 44 44 22 22 22 22 22 22 22 22 22 58 58 58 58 58 44 44 22 22 22 22 22 22 22 22 22 58 58 58 58 58 58 44 22 22 22 22 22 22 22 22 22 44 44 58 58 58 58 44 22 22 22 22 22 22 22 22 22 44 44 44 58 58 58 58 22 22 22 22 22 22 22 22 22 44 44 44 58 58 58 44 22 22 22 22 22 22 22 22 22 44 44 58 58 58 58 44 22 22 22 22 22 22 22 22 22 44 44 58 58 58 44 44 22 22 22 22 22 22 22 22 22 " 
8 "22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 62 62 62 62 22 22 22 63 22 22 22 22 22 62 62 62 62 62 62 62 22 22 22 63 22 22 22 62 62 62 62 62 62 62 62 62 22 22 22 63 22 22 62 62 62 62 62 62 62 62 62 62 22 22 22 63 22 22 62 62 62 62 62 62 62 62 62 62 22 22 22 63 22 22 22 62 62 62 62 62 62 62 62 22 22 22 22 63 22 22 22 22 62 62 62 22 22 22 22 22 22 22 22 63 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 63 22 22 22 22 22 22 "
9 "22 22 90 22 22 22 22 63 22 22 22 22 22 90 22 22 22 22 90 22 22 22 22 63 22 22 22 22 46 91 46 22 22 46 91 46 22 22 62 62 62 62 62 46 46 46 46 22 62 46 46 46 22 62 62 62 62 62 46 46 46 22 22 22 62 62 46 46 62 62 62 62 62 46 46 46 62 22 22 22 62 62 46 46 62 62 62 62 62 46 46 62 62 62 62 62 62 62 62 46 62 62 62 62 62 46 62 62 62 22 62 62 62 62 62 46 46 62 62 62 62 47 62 62 62 22 22 22 22 22 62 62 47 62 62 62 62 46 62 62 22 22 22 22 22 22 22 62 46 62 62 62 62 46 22 22 22 22 22 22 22 22 22 46 46 62 62 62 22 46 22 22 22 22 22 22 22 22 22 90 22 22 22 22 22 90 22 22 22 22 22 22 "
10"22 22 22 90 90 22 22 63 22 22 22 90 90 22 22 22 22 22 46 91 91 46 22 63 22 22 46 91 91 46 22 22 22 46 46 46 46 46 62 62 62 22 46 46 46 46 62 62 22 46 46 46 46 46 62 62 62 46 46 46 46 62 62 62 22 46 46 46 46 62 62 62 62 46 47 47 62 62 62 62 62 62 47 47 47 62 62 62 62 47 47 47 62 62 62 62 62 62 62 47 47 47 62 62 62 47 47 47 62 22 22 22 22 62 62 62 47 46 62 62 62 47 46 46 62 22 22 22 22 22 62 62 46 46 46 62 62 62 46 46 46 22 22 22 22 22 22 62 62 46 46 22 22 22 46 46 46 22 22 22 22 22 22 63 22 90 90 22 22 22 22 90 90 22 22 22 22 22 22 63 22 90 90 22 22 22 22 90 90 22 22 22 "
11"22 22 22 22 63 22 22 22 22 22 22 22 63 22 22 22 22 22 62 62 62 62 62 22 22 22 22 22 63 22 22 22 62 62 62 62 62 62 62 22 22 22 22 62 62 62 22 22 62 62 62 62 62 22 22 22 22 62 62 62 62 62 62 22 62 62 62 62 22 22 22 22 22 62 62 62 62 62 62 22 62 62 22 22 22 22 22 62 62 62 62 62 62 62 62 22 22 22 22 22 22 62 62 62 62 62 62 62 62 62 62 22 22 22 22 62 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 62 62 62 62 62 62 22 62 62 62 62 62 22 22 22 22 22 62 62 62 62 22 22 22 62 62 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 "
12"22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 62 62 22 22 22 62 62 62 62 22 22 22 62 62 62 62 62 62 22 22 62 62 62 62 62 22 22 62 62 62 62 62 62 62 62 22 62 62 62 62 62 22 22 62 62 62 62 62 62 62 62 62 62 62 62 62 62 22 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 22 22 62 62 62 62 62 22 62 62 62 62 62 62 62 62 22 22 22 62 62 62 62 22 22 62 62 62 62 62 22 22 22 22 22 22 62 62 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 "
13"22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 62 62 22 22 22 22 22 22 62 62 62 62 22 22 22 62 62 62 62 62 62 22 22 62 62 62 62 62 62 22 22 62 62 62 62 62 62 62 62 62 62 62 62 62 62 22 22 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 22 62 62 62 62 62 62 62 62 62 62 62 62 62 22 22 22 62 62 62 62 62 62 62 62 62 62 62 62 62 62 22 22 62 62 22 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 22 62 62 62 62 62 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 "
14"22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 11 11 11 11 22 22 22 39 22 22 22 22 22 35 22 11 11 11 11 11 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 22 22 22 35 22 22 22 22 22 35 22 22 22 35 22 22 "
15"22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 11 11 11 11 21 21 21 21 11 11 11 22 22 22 11 11 11 11 11 11 11 21 21 21 11 11 11 22 22 22 11 11 11 11 11 11 11 11 11 11 11 11 22 22 22 22 22 22 22 22 11 11 11 11 11 11 11 11 22 39 22 22 22 22 22 22 22 22 22 22 11 11 11 11 22 35 22 22 22 22 22 22 22 39 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 35 22 22 "
ROW 03
1 "44 60 58 58 58 58 44 44 44 44 44 44 44 60 44 44 44 60 58 58 58 58 58 44 44 44 44 44 60 44 44 44 44 44 58 58 58 58 58 58 58 60 44 44 44 44 44 44 44 44 44 58 58 44 58 58 58 58 58 44 44 60 58 58 60 44 44 58 58 58 60 58 58 58 58 58 58 58 58 58 44 44 60 58 58 58 58 58 58 58 58 58 58 58 58 58 44 44 44 60 58 58 58 44 58 58 58 58 58 44 58 58 44 44 44 58 58 58 58 58 58 58 58 58 58 60 58 58 44 44 44 58 58 58 58 58 58 58 58 58 58 58 58 58 44 44 60 58 58 44 60 58 58 58 44 58 58 58 58 58 44 44 58 58 58 58 58 58 58 58 60 60 58 58 58 58 44 44 58 58 58 58 58 58 58 58 58 58 58 58 58 58 "
2 "44 44 44 60 44 44 44 60 44 44 44 60 44 44 44 44 44 44 60 60 44 58 44 60 44 44 44 44 44 44 60 60 60 58 58 58 58 58 58 44 44 44 60 58 58 58 44 60 58 58 58 58 58 44 58 44 44 44 58 58 58 58 44 44 58 44 58 58 58 58 58 58 44 60 58 58 58 58 44 44 58 60 58 58 58 58 58 58 44 44 44 58 58 58 58 44 58 58 58 58 44 60 58 58 61 61 44 61 61 44 60 44 58 58 58 58 58 60 58 58 61 61 61 61 61 61 61 44 58 58 44 60 58 58 58 44 61 61 61 61 61 61 44 44 58 58 58 58 58 58 58 60 58 61 61 44 61 60 44 44 58 58 58 58 58 58 58 58 58 58 44 44 44 44 60 44 58 58 44 58 58 58 58 58 58 58 58 58 44 44 44 44 "
3 "44 44 44 58 58 58 58 58 58 58 58 58 58 58 58 58 44 60 44 58 58 60 58 58 58 58 58 58 58 58 58 58 44 44 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 44 58 58 58 58 58 58 44 58 58 58 60 58 58 58 60 44 58 60 58 58 44 58 58 58 58 58 58 58 58 58 44 44 58 58 58 58 58 58 58 44 58 58 58 58 58 58 44 58 58 58 58 58 58 44 58 58 58 58 58 60 58 58 44 44 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 60 58 58 58 58 58 58 58 58 58 60 58 58 58 58 44 44 44 58 58 60 58 58 58 58 58 58 58 58 58 58 60 44 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 "
4 "58 58 58 58 58 58 58 44 58 58 58 58 58 58 58 58 58 58 58 60 44 58 58 58 58 58 60 58 58 61 61 61 58 58 58 44 58 58 58 58 58 58 58 58 61 61 61 61 58 58 58 58 58 58 60 58 58 58 61 61 61 61 61 61 58 58 58 58 58 58 58 58 44 61 61 61 61 61 58 58 58 60 44 58 58 58 58 58 44 61 61 61 61 58 58 58 58 44 44 58 58 58 58 58 61 61 61 61 58 58 58 58 58 58 58 58 58 58 58 61 61 61 61 61 58 58 58 58 58 58 58 58 58 58 44 61 61 61 61 58 58 58 58 58 58 58 58 58 58 58 61 61 61 61 58 58 44 60 44 58 58 58 44 60 58 58 61 61 61 58 58 58 60 44 44 58 58 58 58 58 58 58 61 61 61 58 58 44 44 44 44 44 "
5 "58 58 61 61 61 58 58 58 58 58 58 58 58 58 58 58 61 61 61 61 61 58 58 58 58 58 58 44 58 58 58 58 61 61 61 61 58 58 58 58 58 58 60 58 58 58 58 44 61 61 61 58 58 58 58 58 58 58 58 58 58 58 44 44 58 58 58 58 58 58 44 58 58 58 58 58 58 60 44 44 58 60 58 58 58 58 60 58 58 58 58 58 44 60 44 44 58 58 44 58 58 58 58 58 58 58 44 44 44 44 44 44 58 58 58 58 58 58 58 58 58 60 44 44 44 44 44 44 58 58 58 58 44 44 58 58 58 44 44 44 60 60 44 44 58 58 58 44 60 60 44 58 44 44 44 44 44 60 60 44 58 44 44 44 60 44 44 44 44 44 60 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 "
