4
12
ROW 0
4 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 49 49 49 49 49 49 49 49 99 99 99 99 99 99 99 99 49 69 69 69 69 69 69 49 99 99 99 99 99 99 99 99 49 69 69 69 69 69 69 49 99 99 99 99 99 99 99 99 49 69 69 69 69 69 69 49 99 99 99 99 99 99 99 99 49 69 69 69 69 69 69 49 99 99 99 99 99 99 99 99 49 69 69 69 49 49 49 49 99 99 99 99 99 99 99 99 49 69 69 69 49 99 99 99 99 99 99 99 99 99 99 99 49 49 71 49 49 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
5 "99 99 99 84 84 84 84 84 99 99 99 99 99 99 99 99 99 99 84 84 58 58 58 84 84 99 99 99 99 99 99 99 99 99 84 58 58 58 58 58 84 99 99 99 99 99 99 99 99 99 84 58 58 58 58 58 84 99 99 99 99 99 99 99 99 99 84 58 58 58 58 58 84 99 99 99 99 99 99 99 99 99 84 84 58 58 58 84 84 99 99 99 99 99 99 99 99 99 99 84 84 58 84 84 99 99 99 99 99 99 99 99 99 99 99 99 84 38 84 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
6 "99 99 99 84 84 84 84 84 99 99 99 99 99 99 99 99 99 99 84 84 58 58 58 84 84 99 99 99 99 99 99 99 99 99 84 58 58 58 58 58 84 99 99 99 99 99 99 99 99 99 84 58 58 58 58 58 84 99 99 99 99 99 99 99 99 99 84 58 58 58 58 58 84 99 99 99 99 99 99 99 99 99 84 84 58 58 58 84 84 99 99 99 99 99 99 99 99 99 99 84 84 58 84 84 99 99 99 99 99 99 99 99 99 99 99 99 84 38 84 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
8 "99 99 99 73 70 70 70 70 70 70 70 70 70 73 99 99 99 99 99 73 70 81 70 70 70 70 70 81 70 73 99 99 99 99 99 73 70 70 70 70 70 70 70 70 70 73 99 99 99 99 99 73 70 81 70 70 70 70 70 81 70 73 99 99 99 99 99 73 70 70 70 70 70 70 70 70 70 73 99 99 99 99 99 73 70 81 70 70 70 70 70 81 70 73 99 99 99 99 99 73 70 70 70 70 70 70 70 70 70 73 99 99 99 99 99 73 70 81 70 70 70 70 70 81 70 73 99 99 99 99 99 73 70 70 70 70 70 70 70 70 70 73 99 99 99 99 99 73 73 73 73 73 72 73 73 73 73 73 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
9 "73 73 73 73 73 73 73 73 70 73 73 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 49 49 49 49 49 70 70 70 70 70 70 49 49 49 49 49 49 49 49 49 49 70 70 70 70 70 70 49 49 49 49 49 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 73 73 72 73 73 73 73 73 73 73 73 "
10"73 73 73 73 73 73 73 73 70 73 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 73 73 73 73 73 73 70 70 70 70 70 70 70 70 70 70 70 70 73 73 73 70 70 70 70 73 73 70 70 73 73 70 70 70 70 73 73 70 70 70 70 70 70 70 70 70 70 70 70 70 70 73 73 70 70 70 70 70 70 73 73 70 70 70 70 70 70 70 73 70 70 70 70 70 73 73 73 73 70 70 70 70 70 73 73 73 70 70 70 70 73 70 70 73 70 70 70 70 73 73 73 73 73 73 70 70 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 "
11"73 73 73 73 73 73 73 63 73 73 73 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 73 73 70 70 73 73 73 73 73 73 73 "
12"73 73 73 73 73 73 73 63 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 63 73 73 73 73 73 73 73 73 73 73 73 73 73 73 70 70 70 73 70 70 70 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 70 70 73 73 73 73 73 73 70 70 70 73 70 70 70 73 70 70 70 73 73 73 73 73 70 70 70 70 70 70 70 70 70 70 70 73 73 73 73 73 70 70 70 70 70 73 70 70 70 70 70 73 73 73 73 73 73 70 70 73 70 73 70 73 70 70 73 73 73 73 73 73 73 73 70 73 70 73 70 73 70 73 73 73 73 73 73 73 73 73 70 73 70 73 70 73 70 73 73 73 73 73 73 73 73 73 70 73 70 70 70 73 70 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 70 73 73 73 "
ROW 2
0 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 77 77 77 77 77 99 99 99 99 99 99 99 99 99 99 99 77 69 69 69 77 99 99 99 99 99 99 99 99 99 99 99 77 69 69 69 77 77 77 77 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 77 77 77 77 71 77 77 77 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
1 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 77 77 77 77 77 77 77 77 77 77 77 77 77 99 99 99 77 69 69 69 69 69 69 69 69 69 69 69 77 99 99 99 77 69 69 69 69 69 69 69 69 69 69 69 77 99 99 99 77 69 69 69 69 69 69 69 69 69 69 69 77 99 99 99 77 77 77 69 69 69 69 69 69 69 77 77 77 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 77 77 71 77 77 77 77 77 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
2 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 73 73 73 73 73 73 73 73 99 99 99 99 99 99 99 99 73 70 70 70 70 70 70 73 99 99 99 99 99 99 99 99 73 70 70 70 70 70 70 73 99 99 99 99 99 73 73 73 73 70 70 70 70 70 70 73 73 73 73 99 99 73 70 70 70 70 70 70 70 70 70 70 70 70 73 99 99 73 70 70 70 70 70 70 70 70 70 70 70 70 73 99 99 73 70 70 70 70 70 70 70 70 70 70 70 70 73 99 99 73 70 70 70 70 70 70 70 70 70 70 70 70 73 99 99 73 73 73 73 73 73 72 73 73 73 73 73 73 73 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
3 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 49 49 49 49 49 49 49 49 49 49 49 49 99 99 99 99 49 69 69 69 69 69 69 69 69 69 69 49 99 99 99 99 49 69 69 69 69 69 69 69 69 69 69 49 99 99 99 99 49 69 69 49 69 69 69 69 49 69 69 49 99 99 99 99 49 69 69 49 69 69 69 69 49 69 69 49 99 99 99 99 49 49 49 49 69 69 69 69 49 49 49 49 99 99 99 99 99 99 99 49 69 69 69 69 49 99 99 99 99 99 99 99 99 99 99 49 49 49 71 49 49 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
4 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 49 49 49 49 49 99 99 99 99 99 99 99 99 99 99 99 49 70 70 70 49 99 99 99 99 99 99 99 99 99 99 99 49 70 70 70 49 99 99 99 99 99 99 99 99 99 99 99 49 70 70 70 49 99 99 99 99 99 99 99 99 99 99 99 49 70 70 70 49 99 99 99 99 99 99 99 99 99 99 99 49 49 72 49 49 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
5 "99 99 99 99 99 84 84 84 84 84 84 84 99 99 99 99 99 99 99 99 84 84 59 58 59 58 59 84 84 99 99 99 99 99 99 84 84 58 58 58 58 58 58 58 84 84 99 99 99 99 99 84 59 58 58 58 59 58 59 58 59 84 99 99 99 99 99 84 58 58 58 58 58 58 58 58 58 84 99 99 99 99 99 84 59 58 59 58 59 58 59 58 59 84 99 99 99 99 99 84 58 58 58 58 58 58 58 58 58 84 99 99 99 99 99 84 59 58 59 58 59 58 59 58 59 84 99 99 99 99 99 84 84 58 58 58 58 58 58 58 84 84 99 99 99 99 99 99 84 84 59 58 58 58 59 84 84 99 99 99 99 99 99 99 99 84 84 84 58 84 84 84 99 99 99 99 99 99 99 99 99 99 99 84 38 84 99 99 99 99 99 99 "
6 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 26 30 29 29 29 29 25 22 22 22 22 22 26 29 29 29 29 29 29 29 29 29 29 22 22 22 22 22 29 29 29 29 29 29 29 29 29 29 30 22 22 22 22 22 29 29 29 30 27 22 22 22 63 63 22 22 22 22 22 22 30 29 29 27 22 22 22 22 63 63 22 22 22 22 22 22 22 98 22 22 22 22 22 22 63 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 63 22 22 22 22 22 22 22 22 22 22 22 22 26 29 29 29 29 30 22 22 22 22 22 22 22 22 22 22 29 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 30 29 29 29 29 27 22 22 22 22 22 22 22 22 22 22 28 29 29 29 27 22 22 22 "
8 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 73 73 73 73 73 73 73 73 73 73 73 73 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 70 70 70 70 70 70 70 70 70 70 70 99 99 99 99 73 73 73 73 73 63 73 73 73 73 73 73 "
9 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 99 70 70 70 70 70 70 70 70 70 70 70 70 70 70 73 99 70 70 70 70 70 70 70 69 70 70 70 70 70 70 73 99 70 70 70 70 70 69 70 70 70 70 70 70 70 70 73 99 70 70 70 70 70 70 70 70 69 70 70 70 70 70 73 99 70 70 70 70 70 70 69 70 70 70 70 70 70 70 73 99 70 70 70 70 70 70 70 70 70 70 70 70 70 70 73 99 70 70 70 70 70 70 70 70 70 70 70 70 70 70 73 99 73 73 73 73 73 73 73 73 73 72 73 73 73 73 73 99 "
10"73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 70 70 73 73 73 70 70 70 70 73 73 73 70 70 73 73 70 70 73 73 70 70 70 70 70 70 73 73 70 70 73 73 70 70 73 73 70 70 70 70 70 70 73 73 70 70 73 73 70 70 73 73 70 70 70 70 70 70 73 73 70 70 73 73 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 73 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 73 70 70 73 73 70 70 70 70 70 70 73 73 70 70 73 73 70 70 73 73 70 70 70 70 70 70 73 73 70 70 73 73 70 70 73 73 70 70 70 70 70 70 73 73 70 70 73 73 70 70 73 73 73 70 70 70 70 73 73 73 70 70 73 73 73 73 73 73 73 73 70 70 73 73 73 73 73 73 73 "
11"73 73 73 73 73 73 73 70 70 73 73 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 49 49 73 73 73 73 73 70 70 70 70 70 70 70 70 70 49 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 49 70 70 70 70 70 70 73 73 73 73 73 70 70 70 70 49 49 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 70 70 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 70 70 70 70 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 "
